,Formula_Index,OM_Value
643,454.0,0.6
644,534.0,0.6
645,422.0,0.6
646,474.0,0.38
647,474.0,0.38
648,406.0,0.67
649,427.0,0.67
650,362.0,0.75
651,506.0,0.75
652,246.0,1.09
653,303.0,1.09
654,365.0,0.88
655,373.0,0.88
656,439.0,0.65
657,400.0,0.65
658,381.0,0.57
659,419.0,0.57
660,276.0,0.47
661,333.0,0.47
662,379.0,0.78
663,374.0,0.78
664,375.0,0.72
665,362.0,0.72
666,363.0,0.52
667,359.0,0.52
668,367.0,0.47
669,347.0,0.47
670,152.0,0.45
671,377.0,0.45
672,454.0,0.53
673,387.0,0.53
674,415.0,0.57
675,277.0,0.57
676,300.0,0.52
677,298.0,0.52
678,426.0,0.55
679,430.0,0.55
680,245.0,0.53
681,312.0,0.53
682,536.0,0.35
683,546.0,0.35
684,565.0,0.5
685,551.0,0.5
686,367.0,0.7
687,504.0,0.7
688,608.0,0.45
689,604.0,0.45
690,541.0,0.4
691,466.0,0.4
692,471.0,0.4
693,501.0,0.4
694,496.0,0.42
695,510.0,0.42
696,511.0,0.39
697,511.0,0.39
698,331.0,0.51
699,259.0,0.51
700,312.0,0.45
701,200.0,0.45
702,426.0,0.47
703,392.0,0.47
704,238.0,0.49
705,373.0,0.49
706,384.0,0.46
707,360.0,0.46
708,385.0,0.4
709,405.0,0.4
710,305.0,0.46
711,340.0,0.46
712,344.0,0.43
713,371.0,0.43
714,512.0,0.51
715,527.0,0.51
716,550.0,0.43
717,589.5,0.43
718,508.0,0.48
719,532.0,0.48
720,512.0,0.37
721,523.0,0.37
722,445.0,0.49
723,416.0,0.49
724,346.0,0.43
725,354.0,0.43
726,222.0,0.54
727,401.0,0.54
728,273.0,0.43
729,309.0,0.43
730,316.0,0.48
731,301.0,0.48
732,440.0,0.42
733,262.0,0.42
734,441.0,0.51
735,390.0,0.51
736,416.0,0.42
737,379.0,0.42
738,260.0,0.38
739,372.0,0.38
740,376.0,0.5
741,295.0,0.5
742,312.0,0.4
743,323.0,0.4
744,447.0,0.52
745,364.0,0.52
746,407.0,0.47
747,473.0,0.47
748,411.0,0.45
749,474.0,0.45
750,376.0,0.44
751,378.0,0.44
752,471.0,0.55
753,437.0,0.55
754,465.0,0.4
755,435.0,0.4
756,354.0,0.58
757,335.0,0.58
758,429.0,0.69
759,457.0,0.69
760,431.0,0.57
761,420.0,0.57
762,364.0,0.7
763,412.0,0.7
764,515.0,0.49
765,476.0,0.49
766,369.0,0.35
767,325.0,0.35
768,388.0,0.45
769,519.0,0.45
770,478.0,0.42
771,446.0,0.42
772,417.0,0.41
773,529.0,0.41
774,527.0,0.52
775,517.0,0.52
776,418.0,0.26
777,480.0,0.26
778,549.0,0.36
779,526.0,0.36
780,540.0,0.34
781,496.0,0.34
782,520.0,0.72
783,512.0,0.72
784,483.0,0.62
785,531.0,0.62
786,448.0,0.67
787,521.0,0.67
788,410.0,1.01
789,369.0,1.01
790,329.0,0.9
791,367.0,0.9
792,252.0,0.46
793,409.0,0.46
794,325.0,0.88
795,472.0,0.88
796,486.0,0.62
797,537.0,0.62
798,532.0,0.72
799,542.0,0.72
800,545.0,0.56
801,449.0,0.56
802,492.0,0.52
803,531.0,0.52
804,556.0,0.7
805,530.0,0.7
806,564.0,0.63
807,569.0,0.63
808,545.0,0.51
809,555.0,0.51
810,524.0,0.5
811,556.0,0.5
812,541.0,0.72
813,543.0,0.72
814,486.0,0.55
815,484.0,0.55
816,323.0,0.6
817,490.0,0.6
818,295.0,0.64
819,462.0,0.64
820,285.0,0.4
821,383.0,0.4
822,353.0,0.54
823,327.0,0.54
824,405.0,0.5
825,376.0,0.5
826,422.0,0.47
827,414.0,0.47
828,481.0,0.6
829,462.0,0.6
830,379.0,0.54
831,363.0,0.54
832,558.0,0.61
833,524.0,0.61
834,442.0,0.61
835,525.0,0.61
836,415.0,0.47
837,300.0,0.47
838,549.0,0.43
839,567.0,0.43
840,528.0,0.65
841,504.5,0.65
842,522.0,0.6
843,535.0,0.6
844,520.0,0.48
845,541.0,0.48
846,526.0,0.57
847,514.0,0.57
848,546.0,0.6
849,541.0,0.6
850,533.0,0.63
851,540.0,0.63
852,376.0,0.49
853,428.0,0.49
854,396.0,0.3
855,491.0,0.3
856,494.0,0.59
857,516.0,0.59
858,486.0,0.54
859,488.0,0.54
860,537.0,0.5
861,493.0,0.5
862,508.0,0.6
863,531.0,0.6
864,540.0,0.6
865,543.0,0.6
866,533.0,0.6
867,514.0,0.6
868,589.0,0.45
869,530.0,0.45
870,536.0,0.3
871,547.0,0.3
872,455.0,0.38
873,419.0,0.38
874,414.0,0.8
875,262.0,0.8
876,300.0,0.72
877,254.0,0.72
878,362.0,0.69
879,337.0,0.69
880,507.0,0.56
881,520.0,0.56
882,532.0,0.47
883,526.0,0.47
884,507.0,0.62
885,494.0,0.62
886,504.0,0.26
887,530.0,0.26
888,562.0,0.62
889,548.0,0.62
890,549.0,0.26
891,499.0,0.26
892,522.0,0.47
893,574.0,0.47
894,566.5,0.52
895,473.0,0.52
896,513.0,0.52
897,551.0,0.67
898,551.0,0.67
899,531.0,0.7
900,529.0,0.7
901,512.0,0.41
902,514.0,0.41
903,555.0,0.26
904,584.0,0.26
905,521.0,0.57
906,528.0,0.57
907,491.0,0.36
908,512.0,0.36
909,522.0,0.41
910,440.0,0.41
911,505.0,0.57
912,518.0,0.57
913,543.0,0.21
914,512.0,0.21
915,161.0,0.31
916,254.0,0.31
917,520.0,0.36
918,549.0,0.36
919,557.0,0.26
920,565.0,0.26
921,529.0,0.57
922,528.0,0.57
923,619.0,0.47
924,477.0,0.47
925,548.0,0.93
926,524.0,0.93
927,547.0,0.78
928,525.0,0.78
929,483.0,0.62
930,547.0,0.62
931,519.0,0.6
932,516.0,0.6
933,558.0,0.7
934,499.0,0.7
935,499.0,0.53
936,517.0,0.53
937,533.0,0.53
938,516.0,0.6
939,545.0,0.6
940,618.0,0.52
941,584.0,0.52
942,385.0,0.26
943,379.0,0.26
944,325.0,0.52
945,350.0,0.52
946,323.0,0.36
947,205.0,0.36
948,366.0,0.52
949,321.0,0.52
950,281.0,0.62
951,422.0,0.62
952,405.0,0.57
953,379.0,0.57
954,386.0,0.57
955,315.0,0.57
956,336.0,0.26
957,405.0,0.26
958,535.0,0.55
959,517.0,0.55
960,434.0,1.0
961,502.0,1.0
962,480.0,1.0
963,511.0,1.0
964,512.0,0.74
965,533.0,0.74
966,526.0,0.74
967,508.0,0.74
968,570.0,0.58
969,533.0,0.58
970,553.0,0.64
971,411.0,0.64
972,537.0,0.41
973,495.0,0.41
974,518.0,0.52
975,515.0,0.52
976,553.0,0.44
977,510.0,0.44
978,373.0,0.52
979,417.0,0.52
980,233.0,0.36
981,277.0,0.36
982,404.0,0.41
983,449.0,0.41
984,431.0,0.52
985,440.0,0.52
986,407.0,0.26
987,388.0,0.26
988,325.0,0.31
989,355.0,0.31
990,221.0,0.31
991,312.0,0.31
992,429.0,0.31
993,329.0,0.31
994,508.0,0.52
995,561.0,0.52
996,468.0,0.52
997,547.0,0.6
998,506.0,0.6
999,512.0,0.61
1000,500.0,0.61
1001,548.0,0.78
1002,520.0,0.78
1003,474.0,0.65
1004,550.0,0.65
1005,457.0,0.6
1006,502.0,0.6
1007,521.0,0.64
1008,497.0,0.64
1009,526.0,0.85
1010,525.0,0.85
1011,385.0,0.6
1012,559.0,0.6
1013,550.0,0.41
1014,486.0,0.41
1015,384.0,0.62
1016,221.0,0.62
1017,425.0,0.52
1018,370.0,0.52
1019,381.0,0.43
1020,280.0,0.43
1021,371.0,0.78
1022,289.0,0.78
1023,341.0,0.52
1024,377.0,0.52
1025,230.0,0.78
1026,408.0,0.78
1027,335.0,0.81
1028,347.0,0.81
1029,355.0,0.53
1030,511.0,0.53
1031,436.0,0.62
1032,414.0,0.62
1033,311.0,0.26
1034,355.0,0.26
1035,431.0,0.21
1036,397.0,0.21
1037,354.0,0.62
1038,321.0,0.62
1039,420.0,0.3
1040,295.0,0.3
1041,382.0,0.64
1042,364.0,0.64
1043,293.0,0.62
1044,328.0,0.62
1045,413.0,4.4
1046,366.0,4.4
1047,355.0,0.5
1048,324.0,0.5
1049,263.0,0.62
1050,278.0,0.62
1051,399.0,0.6
1052,407.0,0.67
1053,555.0,0.6
1054,471.0,0.6
1055,462.0,0.52
1056,528.0,0.56
1057,486.0,0.26
1058,307.0,0.4
1059,347.0,0.4
1060,310.0,0.6
1061,397.0,0.6
1062,262.5,0.5
1063,365.0,0.5
