Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
124135,I,7.9,0.93,0.5,4.7,,
124019,O,7.9,1.6,0.62,5.5,,
124019,I,7.8,1.31,0.55,5,,
124015,O,7.9,1.14,0.48,4.2,,
124015,I,7.9,1,0.5,4.5,,
124897,O,8.2,0.84,0.3,4,,
124897,I,8.2,0.7,0.45,3.6,,
124014,O,7.8,1.72,0.6,5.2,,
124014,I,7.9,1.53,0.55,5,,
124050,O,8.1,0.6,0.41,5.5,,
124050,I,8,0.55,0.4,5.2,,
124017,O,7.9,1.92,0.6,5,,
124017,I,7.9,1.65,0.55,4.7,,
124048,O,8.2,0.65,0.35,4.3,,
124048,I,8.1,0.54,0.3,4,,
124018,O,7.8,1.05,0.54,5.5,,
124018,I,7.8,0.91,0.5,5.2,,
124047,O,8.1,0.95,0.3,4.6,,
124047,I,8.1,0.88,0.35,4.4,,
124155,O,7.9,0.6,0.68,5,,
124155,I,7.8,0.5,0.6,4.6,,
123905,O,7.8,1.73,0.36,5.2,,
123905,I,7.7,1.43,0.33,5,,
124051,O,8.1,0.82,0.35,5,,
124051,I,8,0.65,0.3,4.6,,
124085,O,8.1,4,0.5,4,,
124085,I,8.1,3.9,0.4,3.5,,
124044,O,8.2,0.82,0.48,5,,
124044,I,8.1,0.73,0.5,5,,
124046,O,8,0.55,0.4,4.6,,
124046,I,8.1,0.5,0.32,4,,
123904,O,7.8,0.92,0.4,8.1,,
123904,I,7.7,0.77,0.37,6.8,,
124128,O,7.7,1.5,0.52,4.1,,
124128,I,7.8,1.3,0.45,3.8,,
124016,O,7.8,1.55,0.45,4.5,,
124016,I,7.9,1.35,0.4,4,,
124124,O,7.9,1.77,0.63,5.4,,
124124,I,7.9,1.7,0.6,5,,
124119,O,7.9,1.32,0.7,5.4,,
124119,I,7.8,1.1,0.66,5,,
124261,O,8.1,1.03,0.6,4.8,,
124261,I,8,1.23,0.58,4,,
124259,O,8.1,1.54,0.7,5.8,,
124259,I,7.8,1.4,0.5,6,,
124258,O,7.9,0.88,0.43,5.5,,
124258,I,7.9,0.8,0.4,5,,
124118,O,8,1.01,0.76,4.5,,
124118,I,7.9,0.93,0.7,4,,
124260,O,7.7,1.15,0.5,4.2,,
124260,I,7.5,1.02,0.44,3.9,,
124120,O,7.6,0.93,0.8,5.4,,
124120,I,7.5,1.04,0.6,5.1,,
124121,O,8,1.1,0.6,4.6,,
124121,I,8.1,0.92,5.3,4.1,,
124072,O,7.7,0.75,0.4,5,,
124072,I,7.4,0.55,0.5,4.3,,
124147,O,8.1,0.71,0.67,5.6,,
124147,I,8,0.82,0.6,5,,
124146,O,7.9,0.71,0.62,5.2,,
124146,I,7.8,0.6,0.54,5,,
