,Formula_Index,P_Value
647,474.0,6.2
648,406.0,4.0
649,427.0,4.0
650,362.0,4.8
651,506.0,4.8
652,246.0,5.4
653,303.0,5.4
654,365.0,4.5
655,373.0,4.5
656,439.0,5.6
657,400.0,5.6
658,381.0,4.2
659,419.0,4.2
660,276.0,3.6
661,333.0,3.6
662,379.0,3.8
663,374.0,3.8
664,375.0,3.1
665,362.0,3.1
666,363.0,3.6
667,359.0,3.6
668,367.0,3.6
669,347.0,3.6
670,152.0,4.0
671,377.0,4.0
672,454.0,4.4
673,387.0,4.4
674,415.0,4.7
675,277.0,4.7
676,300.0,4.2
677,298.0,4.2
678,426.0,4.5
679,430.0,4.5
680,245.0,5.2
681,312.0,5.2
682,536.0,5.5
683,546.0,5.5
684,565.0,4.5
685,551.0,4.5
686,367.0,4.0
687,504.0,4.0
688,608.0,5.1
689,604.0,5.1
690,541.0,4.8
691,466.0,4.8
692,471.0,5.5
693,501.0,5.5
694,496.0,4.3
695,510.0,4.3
696,511.0,4.6
697,511.0,4.6
698,331.0,4.3
699,259.0,4.3
700,312.0,4.0
701,200.0,4.0
702,426.0,4.1
703,392.0,4.1
704,238.0,4.6
705,373.0,4.6
706,384.0,5.0
707,360.0,5.0
708,385.0,4.2
709,405.0,4.2
710,305.0,5.7
711,340.0,5.7
712,344.0,4.5
713,371.0,4.5
714,512.0,5.5
715,527.0,5.5
716,550.0,4.8
717,589.5,4.8
718,508.0,5.6
719,532.0,5.6
720,512.0,5.0
721,523.0,5.0
722,445.0,4.2
723,416.0,4.2
724,346.0,4.2
725,354.0,4.2
726,222.0,3.7
727,401.0,3.7
728,273.0,4.0
729,309.0,4.0
730,316.0,4.8
731,301.0,4.8
732,440.0,4.0
733,262.0,4.0
734,441.0,5.0
735,390.0,5.0
736,416.0,4.1
737,379.0,4.1
738,260.0,4.7
739,372.0,4.7
740,376.0,5.0
741,295.0,5.0
742,312.0,4.8
743,323.0,4.8
744,447.0,3.8
745,364.0,3.8
746,407.0,4.6
747,473.0,4.6
748,411.0,4.0
749,474.0,4.0
750,376.0,4.2
751,378.0,4.2
752,471.0,4.1
753,437.0,4.1
754,465.0,5.6
755,435.0,5.6
756,354.0,7.5
757,335.0,7.5
758,429.0,5.3
759,457.0,5.3
760,431.0,6.8
761,420.0,6.8
762,364.0,8.5
763,412.0,8.5
764,515.0,5.6
765,476.0,5.6
766,369.0,4.3
767,325.0,4.3
768,388.0,4.5
769,519.0,4.5
770,478.0,5.1
771,446.0,5.1
772,417.0,3.2
773,529.0,3.2
774,527.0,3.5
775,517.0,3.5
776,418.0,4.0
777,480.0,4.0
778,549.0,4.1
779,526.0,4.1
780,540.0,4.3
781,496.0,4.3
782,520.0,4.9
783,512.0,4.9
784,483.0,4.8
785,531.0,4.8
786,448.0,4.8
787,521.0,4.8
788,410.0,5.2
789,369.0,5.2
790,329.0,5.5
791,367.0,5.5
792,252.0,7.2
793,409.0,7.2
794,325.0,5.0
795,472.0,5.0
796,486.0,5.5
797,537.0,5.5
798,532.0,5.1
799,542.0,5.1
800,545.0,5.5
801,449.0,5.5
802,492.0,5.0
