,Formula_Index,EC_Value
612,481.0,7.42
613,481.0,7.42
614,296.0,0.13
615,296.0,0.13
616,301.0,0.13
617,301.0,0.13
618,490.0,0.85
619,490.0,0.85
620,556.0,0.85
621,556.0,0.85
622,444.0,0.16
623,444.0,0.16
624,421.0,0.16
625,421.0,0.16
626,534.0,0.22
627,534.0,0.22
628,503.0,0.18
629,503.0,0.18
630,516.0,0.24
631,516.0,0.24
632,525.0,0.24
633,525.0,0.24
634,528.0,0.15
635,528.0,0.15
636,479.0,0.15
637,479.0,0.15
638,448.0,0.8
639,496.0,0.8
640,416.0,0.31
641,473.0,0.31
642,466.0,0.65
643,454.0,0.65
644,534.0,1.36
645,422.0,1.36
646,474.0,0.17
647,474.0,0.17
648,406.0,1.36
649,427.0,1.36
650,362.0,0.79
651,506.0,0.79
652,246.0,0.79
653,303.0,0.79
654,365.0,1.38
655,373.0,1.38
656,439.0,0.98
657,400.0,0.98
658,381.0,1.72
659,419.0,1.72
660,276.0,1.14
661,333.0,1.14
662,379.0,0.9
663,374.0,0.9
664,375.0,1.23
665,362.0,1.23
666,363.0,1.0
667,359.0,1.0
668,367.0,1.0
669,347.0,1.0
670,152.0,1.17
671,377.0,1.17
672,454.0,1.1
673,387.0,1.1
674,415.0,1.1
675,277.0,1.1
676,300.0,0.88
677,298.0,0.88
678,426.0,1.12
679,430.0,1.12
680,245.0,1.57
681,312.0,1.57
682,536.0,0.44
683,546.0,0.44
684,565.0,1.11
685,551.0,1.11
686,367.0,0.316
687,504.0,0.316
688,608.0,1.36
689,604.0,1.36
690,541.0,2.34
691,466.0,2.34
692,471.0,0.615
693,501.0,0.615
694,496.0,0.702
695,510.0,0.702
696,511.0,1.11
697,511.0,1.11
698,331.0,0.88
699,259.0,0.88
700,312.0,1.81
701,200.0,1.81
702,426.0,1.2
703,392.0,1.2
704,238.0,0.88
705,373.0,0.88
706,384.0,1.11
707,360.0,1.11
708,385.0,1.1
709,405.0,1.1
710,305.0,0.9
711,340.0,0.9
712,344.0,2.3
713,371.0,2.3
714,512.0,1.03
715,527.0,1.03
716,550.0,1.14
717,589.5,1.14
718,508.0,2.4
719,532.0,2.4
720,512.0,0.91
721,523.0,0.91
722,445.0,0.91
723,416.0,0.91
724,346.0,1.65
725,354.0,1.65
726,222.0,1.09
727,401.0,1.09
728,273.0,1.5
729,309.0,1.5
730,316.0,1.09
731,301.0,1.09
732,440.0,1.1
733,262.0,1.1
734,441.0,1.13
735,390.0,1.13
736,416.0,1.08
737,379.0,1.08
738,260.0,1.57
739,372.0,1.57
740,376.0,0.88
741,295.0,0.88
742,312.0,1.09
743,323.0,1.09
744,447.0,0.89
745,364.0,0.89
746,407.0,1.05
747,473.0,1.05
748,411.0,1.12
749,474.0,1.12
750,376.0,1.09
751,378.0,1.09
752,471.0,1.77
753,437.0,1.77
754,465.0,1.14
755,435.0,1.14
756,354.0,1.35
757,335.0,1.35
758,429.0,1.88
759,457.0,1.88
760,431.0,0.43
761,420.0,0.43
762,364.0,0.6
763,412.0,0.6
764,515.0,0.92
765,476.0,0.92
766,369.0,1.01
767,325.0,1.01
768,388.0,1.17
769,519.0,1.17
770,478.0,1.12
771,446.0,1.12
772,417.0,0.97
773,529.0,0.97
774,527.0,1.17
775,517.0,1.17
776,418.0,0.81
777,480.0,0.81
778,549.0,1.23
779,526.0,1.23
780,540.0,1.13
781,496.0,1.13
782,520.0,0.98
783,512.0,0.98
784,483.0,1.14
785,531.0,1.14
786,448.0,1.62
787,521.0,1.62
788,410.0,0.56
789,369.0,0.56
790,329.0,0.345
791,367.0,0.345
792,252.0,0.65
793,409.0,0.65
794,325.0,1.09
795,472.0,1.09
796,486.0,0.94
797,537.0,0.94
798,532.0,1.22
799,542.0,1.22
800,545.0,1.09
801,449.0,1.09
802,492.0,0.67
803,531.0,0.67
804,556.0,1.01
805,530.0,1.01
806,564.0,0.93
807,569.0,0.93
808,545.0,0.75
809,555.0,0.75
810,524.0,1.93
811,556.0,1.93
812,541.0,1.21
813,543.0,1.21
814,486.0,1.03
815,484.0,1.03
816,323.0,1.12
817,490.0,1.12
818,295.0,0.271
819,462.0,0.271
820,285.0,0.49
821,383.0,0.49
822,353.0,0.18
823,327.0,0.18
824,405.0,0.324
825,376.0,0.324
826,422.0,0.285
827,414.0,0.285
828,481.0,0.249
829,462.0,0.249
830,379.0,0.396
831,363.0,0.396
832,558.0,1.02
833,524.0,1.02
834,442.0,0.93
835,525.0,0.93
836,415.0,0.525
837,300.0,0.525
838,549.0,0.91
839,567.0,0.91
840,528.0,2.08
841,504.5,2.08
842,522.0,0.81
843,535.0,0.81
844,520.0,1.01
845,541.0,1.01
846,526.0,0.82
847,514.0,0.82
848,546.0,0.65
849,541.0,0.65
850,533.0,0.431
851,540.0,0.431
852,376.0,0.52
853,428.0,0.52
854,396.0,1.29
855,491.0,1.29
856,494.0,0.9
857,516.0,0.9
858,486.0,1.14
859,488.0,1.14
860,537.0,1.21
861,493.0,1.21
862,508.0,0.351
863,531.0,0.351
864,540.0,0.43
865,543.0,0.43
866,533.0,0.515
867,514.0,0.515
868,589.0,0.83
869,530.0,0.83
870,536.0,0.35
871,547.0,0.35
872,455.0,0.44
873,419.0,0.44
874,414.0,7.3
875,262.0,7.3
876,300.0,0.735
877,254.0,0.735
878,362.0,0.249
879,337.0,0.249
880,507.0,0.76
881,520.0,0.76
882,532.0,0.63
883,526.0,0.63
884,507.0,0.87
885,494.0,0.87
886,504.0,0.81
887,530.0,0.81
888,562.0,0.64
889,548.0,0.64
890,549.0,0.95
891,499.0,0.95
892,522.0,0.56
893,574.0,0.56
894,566.5,0.94
895,473.0,0.94
896,513.0,0.94
897,551.0,0.97
898,551.0,0.97
899,531.0,0.525
900,529.0,0.525
901,512.0,1.01
902,514.0,1.01
903,555.0,0.84
904,584.0,0.84
905,521.0,1.03
906,528.0,1.03
907,491.0,1.02
908,512.0,1.02
909,522.0,1.21
910,440.0,1.21
911,505.0,0.98
912,518.0,0.98
913,543.0,0.98
914,512.0,0.98
915,161.0,0.86
916,254.0,0.86
917,520.0,1.02
918,549.0,1.02
919,557.0,1.01
920,565.0,1.01
921,529.0,0.96
922,528.0,0.96
923,619.0,1.05
924,477.0,1.05
925,548.0,1.14
926,524.0,1.14
927,547.0,1.05
928,525.0,1.05
929,483.0,1.88
930,547.0,1.88
931,519.0,0.76
932,516.0,0.76
933,558.0,0.6
934,499.0,0.6
935,499.0,1.1
936,517.0,1.1
937,533.0,1.1
938,516.0,0.71
939,545.0,0.71
940,618.0,1.02
941,584.0,1.02
942,385.0,0.408
943,379.0,0.408
944,325.0,0.21
945,350.0,0.21
946,323.0,0.23
947,205.0,0.23
948,366.0,0.35
949,321.0,0.35
950,281.0,0.466
951,422.0,0.466
952,405.0,0.515
953,379.0,0.515
954,386.0,0.85
955,315.0,0.85
956,336.0,0.63
957,405.0,0.63
958,535.0,0.65
959,517.0,0.65
960,434.0,0.409
961,502.0,0.409
962,480.0,0.409
963,511.0,0.409
964,512.0,0.324
965,533.0,0.324
966,526.0,0.324
967,508.0,0.324
968,570.0,1.2
969,533.0,1.2
970,553.0,1.3
971,411.0,1.3
972,537.0,1.1
973,495.0,1.1
974,518.0,0.94
975,515.0,0.94
976,553.0,1.09
977,510.0,1.09
978,373.0,0.34
979,417.0,0.34
980,233.0,0.91
981,277.0,0.91
982,404.0,0.89
983,449.0,0.89
984,431.0,0.96
985,440.0,0.96
986,407.0,0.81
987,388.0,0.81
988,325.0,0.94
989,355.0,0.94
990,221.0,0.86
991,312.0,0.86
992,429.0,0.6
993,329.0,0.6
994,508.0,1.22
995,561.0,1.01
996,468.0,1.01
997,547.0,1.09
998,506.0,1.09
999,512.0,0.93
1000,500.0,0.93
1001,548.0,1.93
1002,520.0,1.93
1003,474.0,0.75
1004,550.0,0.75
1005,457.0,1.21
1006,502.0,1.21
1007,521.0,1.12
1008,497.0,1.12
1009,526.0,1.03
1010,525.0,1.03
1011,385.0,1.02
1012,559.0,1.02
1013,550.0,0.91
1014,486.0,0.91
1015,384.0,0.345
1016,221.0,0.345
1017,425.0,0.9
1018,370.0,0.9
1019,381.0,0.69
1020,280.0,0.69
1021,371.0,0.84
