,P_Index,P_Value
566,420.0,4.55
567,456.0,4.55
568,491.0,5.45
569,499.0,5.45
570,527.0,6.800000000000001
571,604.0,6.800000000000001
572,541.0,6.8500000000000005
573,572.0,6.8500000000000005
574,503.0,6.8500000000000005
575,470.0,5.1
576,518.0,5.1
577,501.0,5.5
578,358.0,5.5
579,281.0,4.15
580,416.0,4.15
581,284.0,4.4
582,319.0,4.4
583,288.0,4.6
584,369.0,4.6
585,419.0,5.3
586,395.0,5.3
587,376.0,4.75
588,366.0,4.75
589,414.0,4.65
590,383.0,4.65
591,333.0,6.5
592,352.0,6.5
593,392.0,4.05
594,345.0,4.05
595,541.0,5.199999999999999
596,541.0,5.199999999999999
597,547.0,8.7
598,579.0,8.7
599,542.0,8.7
600,516.0,8.7
601,545.0,6.699999999999999
602,514.0,6.699999999999999
603,419.0,6.699999999999999
604,559.0,6.699999999999999
605,477.0,5.300000000000001
606,523.0,5.300000000000001
607,417.0,5.1
608,422.0,5.1
609,539.0,5.55
610,530.0,5.55
611,517.0,5.1
612,559.0,5.1
613,490.0,5.300000000000001
614,427.0,5.300000000000001
615,193.0,4.35
616,421.0,4.35
617,474.0,4.6
618,350.0,4.6
619,553.0,4.45
620,230.0,4.45
621,412.0,5.300000000000001
622,417.0,5.300000000000001
623,435.0,4.25
624,449.0,4.25
625,238.0,4.4
626,278.0,4.4
627,395.0,4.4
628,388.0,4.4
629,401.0,4.8
630,479.0,4.8
631,580.0,4.8
632,432.0,4.95
633,573.0,4.95
634,459.0,4.85
635,495.0,4.85
636,549.0,4.75
637,498.0,4.75
638,482.0,4.8
639,481.0,4.8
640,487.0,5.35
641,454.0,5.35
642,592.0,4.3
643,479.0,4.3
644,538.0,4.7
645,540.0,4.7
646,489.0,4.5
647,461.0,4.5
648,527.0,4.949999999999999
649,446.0,4.949999999999999
650,475.0,4.7
651,580.0,4.7
652,389.0,7.85
653,198.0,7.85
654,426.0,5.0
655,466.0,5.0
656,294.0,6.15
657,462.0,6.15
658,343.0,4.800000000000001
659,414.0,4.800000000000001
660,257.0,4.9
661,296.0,4.9
662,565.0,7.65
663,500.0,7.65
664,192.0,5.4
665,419.0,5.4
666,385.0,4.800000000000001
667,334.0,4.800000000000001
668,525.0,5.3
669,484.0,5.3
670,389.0,6.35
671,390.0,6.35
672,370.0,5.55
673,396.0,5.55
674,348.0,5.25
675,263.0,5.25
676,339.0,4.949999999999999
677,374.0,4.949999999999999
678,328.0,5.25
679,523.0,5.25
680,448.0,5.25
681,350.0,5.25
682,404.0,5.5
683,518.0,5.5
684,288.0,5.35
685,331.0,5.35
686,309.0,5.1
687,417.0,5.1
688,290.0,4.9
689,392.0,5.35
690,187.0,4.1
691,576.0,4.1
692,614.0,5.449999999999999
693,505.0,4.15
694,497.0,4.699999999999999
695,574.0,4.55
696,356.0,4.55
697,409.0,5.1
698,116.0,5.1
699,363.0,5.35
700,176.0,5.35
